batman, fly, flyman, fly, black
batman, fly, antman, fly, black
gandalf, think, birdman, think, grey
gandalf, think, mouseman, think, grey
catman, run, dogman, run, brown
catman, run, beast, run, brown
dogman, catch, catman, catch, brown
dogman, catch, beast, catch, brown
eggman, stink, charming, stink, white
eggman, stink, goatman, stink, white
eggman, stink, elisa, stink, white
fishman, swim, brave, swim, blue
birdman, fly, gandalf, fly, grey
birdman, fly, mouseman, fly, grey
flyman, fly, batman, fly, black
flyman, fly, antman, fly, black
sofaman, stay, superman, stay, red
sofaman, stay, appleman, stay, red
sofaman, stay, spiderman, stay, red
beast, scream, catman, scream, brown
beast, scream, dogman, scream, brown
goblin, hide, shrek, hide, green
goblin, hide, spinachman, hide, green
goblin, hide, robinhood, hide, green
superman, run, sofaman, run, red
superman, run, appleman, run, red
superman, run, spiderman, run, red
charming, smile, eggman, smile, white
charming, smile, goatman, smile, white
charming, smile, elisa, smile, white
shrek, stink, goblin, stink, green
shrek, stink, spinachman, stink, green
shrek, stink, robinhood, stink, green
appleman, eat, sofaman, eat, red
appleman, eat, superman, eat, red
appleman, eat, spiderman, eat, red
spinachman, grow, goblin, grow, green
spinachman, grow, shrek, grow, green
spinachman, grow, robinhood, grow, green
antman, hide, batman, hide, black
antman, hide, flyman, hide, black
mouseman, steal, gandalf, steal, grey
mouseman, steal, birdman, steal, grey
spiderman, fly, sofaman, fly, red
spiderman, fly, superman, fly, red
spiderman, fly, appleman, fly, red
goatman, jump, eggman, jump, white
goatman, jump, charming, jump, white
goatman, jump, elisa, jump, white
brave, fight, fishman, fight, blue
elisa, freeze, eggman, freeze, white
elisa, freeze, charming, freeze, white
elisa, freeze, goatman, freeze, white
robinhood, steal, goblin, steal, green
robinhood, steal, shrek, steal, green
robinhood, steal, spinachman, steal, green
